id,name,group,suggested_departments,suggested_sections,Job Purpose,Job Responsibility,Authority,Accountability,Daily Duties,Weekly Duties,Monthly Duties,Quarterly Duties,Half-Yearly Duties,Annual Duties,Required Competency,Required Training,Applicable ISO Requirements,Applicable SOP/WI,Designation Checklist,KPI,Target,Evidence/Record,Performance Evaluation,Supervisor/Reporting Line
299,Finishing Quality Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
300,Packing Quality Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
301,QA Auditor,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
302,Quality Auditor,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
303,QI,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
304,Senior QI,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
305,GPQ,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
306,Senior GPQ,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
307,Product Safety Officer,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
308,Needle Control Officer,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
309,Traceability Officer,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
310,Customer Complaint Officer,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
311,Laboratory Manager,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
312,Lab Manager,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
313,Lab Officer,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
314,Lab Technician,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
315,Senior Lab Technician,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
316,Junior Lab Technician,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
317,Testing Officer,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
318,Testing Technician,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
319,Calibration Officer,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
320,Calibration Technician,Lab / Testing / Calibration,Quality Assurance / QC Management,Quality,,,,,,,,,,,,,,,,,,,,
321,Engineering Manager,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
322,Maintenance Manager,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
323,Maintenance In-charge,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
324,Maintenance Supervisor,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
325,Mechanical Engineer,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
326,Mechanical Supervisor,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
327,Mechanic In-charge,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
328,Senior Mechanic,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
329,Mechanic,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
330,Junior Mechanic,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
331,Machine Technician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
332,Senior Machine Technician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
333,Junior Machine Technician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
334,Electrical Manager,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
335,Electrical Engineer,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
336,Electrical Supervisor,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
337,Electric In-charge,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
338,Electric Supervisor,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
339,Electric Technician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
340,General Electrician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
341,Senior Electrician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
342,Junior Electrician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
343,Generator Supervisor,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
344,Generator Operator,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
345,Boiler Supervisor,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
346,Boiler Operator,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
347,Compressor Operator,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
348,HVAC Supervisor,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
349,HVAC Technician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
350,AC Technician,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
351,Plumber,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
352,Welder,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
353,Civil Engineer,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
354,Civil Supervisor,Engineering / Maintenance / Utility,Maintenance Management; Utility & Energy Management,Electrical; Mechanical; Energy Monitoring; Utility Monitoring; Energy Efficiency,,,,,,,,,,,,,,,,,,,,
355,HSE Manager,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
356,HSE Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
357,Senior HSE Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
358,Safety Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
359,Safety Executive,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
360,Environmental Manager,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
361,Environmental Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
362,Sustainability Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
363,Waste Management Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
364,Chemical Management Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
365,Chemical Safety Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
366,Fire Safety Manager,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
367,Fire Safety Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
368,Fireman,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
369,Emergency Response Coordinator,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
370,Emergency Response Team,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
371,PPE Officer,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
372,Safety Inspector,HSE / Environment / Chemical / Fire,HSE / Occupational Health & Safety; Environmental Management; Chemical Management,HSE; Safety Inspection; PPE Management; Fire Safety; Emergency Response; Fire Drill; Environmental Aspect/Impact; Environmental Monitoring; ETP/STP; Chemical Inventory; SDS Management; Chemical Storage; Chemical Handling; Spill Response,,,,,,,,,,,,,,,,,,,,
373,Medical Manager,Medical,Medical Management,Medical Center; First Aid; Occupational Health; Childcare,,,,,,,,,,,,,,,,,,,,
374,Medical Officer,Medical,Medical Management,Medical Center; First Aid; Occupational Health; Childcare,,,,,,,,,,,,,,,,,,,,
375,Senior Medical Officer,Medical,Medical Management,Medical Center; First Aid; Occupational Health; Childcare,,,,,,,,,,,,,,,,,,,,
376,Medical Assistant,Medical,Medical Management,Medical Center; First Aid; Occupational Health; Childcare,,,,,,,,,,,,,,,,,,,,
377,Medical Asst.,Medical,Medical Management,Medical Center; First Aid; Occupational Health; Childcare,,,,,,,,,,,,,,,,,,,,
378,Nurse,Medical,Medical Management,Medical Center; First Aid; Occupational Health; Childcare,,,,,,,,,,,,,,,,,,,,
379,First Aid Officer,Medical,Medical Management,Medical Center; First Aid; Occupational Health; Childcare,,,,,,,,,,,,,,,,,,,,
380,Occupational Health Officer,Medical,Medical Management,Medical Center; First Aid; Occupational Health; Childcare,,,,,,,,,,,,,,,,,,,,
381,Store Manager,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
382,Store In-charge,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
383,Store Supervisor,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
384,Senior Store Keeper,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
385,Store Keeper,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
386,Store Assistant,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
387,Inventory Manager,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
388,Inventory Officer,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
389,Inventory Controller,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
390,Warehouse Manager,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
391,Warehouse Supervisor,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
392,Warehouse Officer,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
393,Warehouse Assistant,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
394,Receiving Officer,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
395,Receiving Assistant,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
396,GRN Officer,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
397,Issue Man,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
398,Assistant Issue Man,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
399,Stock Controller,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
400,Stock Auditor,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
401,Finished Goods Store Keeper,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
402,Logistics Manager,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
403,Logistics Officer,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
404,Logistics Coordinator,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
405,Dispatch Officer,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
406,Transport Officer,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
407,Loader Supervisor,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
408,Loader,Store / Inventory / Logistics,Inventory & Store Management,Store; Store Quality; Stock Lot; Receive,,,,,,,,,,,,,,,,,,,,
409,CFO,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
410,Finance Manager,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
411,Accounts Manager,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
412,Senior Accounts Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
413,Accounts Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
414,Junior Accounts Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
415,Accounts Executive,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
416,Cost Accountant,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
417,Cost Control Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
418,Budget Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
419,Payroll Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
420,Payroll Executive,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
421,Cashier,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
422,Accounts Assistant,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
423,Commercial Manager,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
424,Senior Commercial Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
425,Commercial Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
426,Commercial Executive,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
427,Export Manager,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
428,Export Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
429,Import Manager,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
430,Import Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
431,Shipping Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
432,Shipping Executive,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
433,Documentation Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
434,Customs Coordinator,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
435,Bond Officer,Accounts / Commercial,Accounts & Finance Management; Commercial Management,Accounts & Finance; Commercial,,,,,,,,,,,,,,,,,,,,
436,IT Director,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
437,IT Manager,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
438,System Administrator,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
439,Senior System Administrator,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
440,Network Administrator,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
441,Database Administrator,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
442,Information Security Manager,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
443,Information Security Officer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
444,Cybersecurity Officer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
445,IT Support Manager,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
446,IT Support Officer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
447,IT Support Executive,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
448,Software Engineer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
449,Full Stack Developer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
450,Frontend Developer,IT / Security / MIS,IT & Information Security Management,System; Security,,,,,,,,,,,,,,,,,,,,
